Name,Country,Path,Source
AERA,Iceland,Academic,https://openaera.org/
LIDA,USA,Academic,https://www.memphis.edu/iis/projects/ida_and_lida.php
FLOWERS,France,Academic,https://flowers.inria.fr/
NARS,USA,Academic,https://www.opennars.org/
Susaro,N/A,Unknown,http://www.susaro.com/
GoodAI,N/A,For-Profit,https://www.goodai.com/
Aigo (Formerly AGi3),N/A,For-Profit,https://aigo.ai/
AGI Laboratory,N/A,For-Profit,http://web.archive.org/web/20230404020159/https://agilaboratory.com/
Intelligent Artifacts,N/A,For-Profit,https://www.intelligent-artifacts.com/
New Sapience,N/A,For-Profit,https://www.newsapience.com/
OpenAI,USA,Capped-Profit,https://openai.com/
Cyc,USA,For-Profit,https://cyc.com/
DeepBrainz,India,For-Profit,https://deepbrainz.com/
DeepMind,UK,For-Profit,https://www.deepmind.com/
NNAISENSE,Switzerland ,For-Profit,https://nnaisense.com/
Brain Simulator II,USA,Decentralized,https://futureai.guru/technologies/brian-simulator-ii-open-source-agi-toolkit/
OpenCog,USA,Decentralized,https://opencog.org/
SingularityNet,Netherlands,Decentralized,https://singularitynet.io/
AIXI,USA,Academic,http://www.hutter1.net/ai/uaibook.htm
ACT-R,USA,Academic,http://act-r.psy.cmu.edu/about/
CLARION,USA,Academic,https://sites.google.com/site/drronsun/clarion/clarion-project
SOAR,USA,Academic,https://soar.eecs.umich.edu/
Whole Brain Architecture Initiative,Japan,Non-Profit,https://wba-initiative.org/en/
Binary Neurons Network,Russia,Decentralized,https://github.com/cortl0/binary_neurons_network
Graphen,N/A,For-Profit,https://www.graphen.ai/#about
ANSNA,USA,Decentralized,https://github.com/patham9/ANSNA
Big Mother,UK,Unknown,https://bigmother.ai/
Mondad,USA,Unknown,https://monad.ai/
Blue Brain,Switzerland,Academic,https://www.epfl.ch/research/domains/bluebrain/
Human Brain Project,Switzerland,Decenteralized,https://www.humanbrainproject.eu/en/about-hbp/project-structure/governance/
Mindtrace,UK,For-Profit,https://mindtrace.ai/
Sanctuary AI,Canada,For-Profit,https://www.sanctuary.ai/
AIBrain,USA,For-Profit,https://aibrain.com/
MSRAI,USA,For-Profit,N/A
Mind Simulation,Russia,For-Profit,https://mind-simulation.com/en/
China Brain Project,China,Government,N/A
Olbrain,USA,For-Profit,https://www.olbrain.com/
Optimizing Mind,USA,Unknown,https://www.optimizingmind.com/
Drayker,Brasil,Decentralized,https://www.drayker.com/
Research Center for Brain-Inspired Intelligence,China,Government,https://bii.ia.ac.cn/
MARAGI,N/A,Decentralized,https://www.maragi.io/
NDEYSS,N/A,Decnteralized,https://github.com/KarjamP/NDEYSS
